Timestamp,Src IP,Dst IP,Src Port,Dst Port,Protocol,Length,Src Packet Count,Dst Packet Count,Src Byte Count,Dst Byte Count,Src Port Count,Dst Port Count,Src Length StdDev,Dst Length StdDev
1736949865.959116,17.248.209.72,10.59.108.55,443,63333,6,66,2,83,140,25602,1,17,5.656854249492381,371.5419518447484
1736949865.9596758,17.248.209.72,10.59.108.55,443,63333,6,1514,3,83,1654,25602,1,17,833.7033845039452,371.5419518447484
1736949865.960215,17.248.209.72,10.59.108.55,443,63333,6,1514,4,83,3168,25602,1,17,833.7001859181753,371.5419518447484
1736949865.960763,17.248.209.72,10.59.108.55,443,63333,6,742,5,83,3910,25602,1,17,722.3517148868686,371.5419518447484
1736949865.9612632,10.59.108.55,17.248.209.72,63333,443,6,66,84,5,25668,3910,17,1,370.24327026137587,722.3517148868686
1736949865.961845,172.224.132.72,10.59.108.55,443,61774,17,387,11,84,3102,25668,1,17,400.7852292687444,370.24327026137587
1736949865.9624279,172.224.132.72,10.59.108.55,443,61774,17,424,12,84,3526,25668,1,17,384.32605317817723,370.24327026137587
1736949865.962989,172.224.132.72,10.59.108.55,443,61774,17,255,13,84,3781,25668,1,17,368.1217747235839,370.24327026137587
1736949865.963545,10.59.108.55,172.224.132.72,61774,443,17,85,85,13,25753,3781,17,1,368.80963525757227,368.1217747235839
1736949865.971667,10.59.108.55,17.248.209.72,63333,443,6,130,86,5,25883,3910,17,1,367.1079164199835,722.3517148868686
1736949865.9800751,17.248.209.72,10.59.108.55,443,63333,6,353,6,86,4263,25883,1,17,669.4080220612836,367.1079164199835
1736949865.980951,10.59.108.55,17.248.209.72,63333,443,6,66,87,6,25949,4263,17,1,365.8356620431649,669.4080220612836
1736949865.981644,10.59.108.55,17.248.209.72,63333,443,6,1376,88,6,27325,4263,17,1,381.4399214325723,669.4080220612836
1736949865.9821389,10.59.108.55,17.248.209.72,63333,443,6,842,89,6,28167,4263,17,1,383.42793302829864,669.4080220612836
1736949865.9825768,17.248.209.72,10.59.108.55,443,63333,6,353,7,89,4616,28167,1,17,625.8439254699363,383.42793302829864
1736949865.982988,17.248.209.72,10.59.108.55,443,63333,6,128,8,89,4744,28167,1,17,609.1209122286689,383.42793302829864
1736949865.983382,10.59.108.55,17.248.209.72,63333,443,6,205,90,8,28372,4744,17,1,381.44881439388024,609.1209122286689
1736949865.983776,10.59.108.55,17.248.209.72,63333,443,6,97,91,8,28469,4744,17,1,380.0130384627735,609.1209122286689
1736949865.984152,10.59.108.55,17.248.209.72,63333,443,6,66,92,8,28535,4744,17,1,378.7945390248268,609.1209122286689
