Timestamp,Src IP,Dst IP,Src Port,Dst Port,Protocol,Length
1736948811.906112,10.59.108.55,17.248.209.129,63281,443,6,66
1736948811.907834,10.59.108.55,17.248.209.129,63281,443,6,130
1736948811.908374,10.59.108.55,17.248.209.129,63281,443,6,453
1736948811.939608,17.248.209.129,10.59.108.55,443,63281,6,66
1736948811.9401448,17.248.209.129,10.59.108.55,443,63281,6,298
1736948811.940536,10.59.108.55,17.248.209.129,63281,443,6,66
1736948812.2550669,10.59.108.55,10.59.107.93,51642,8009,6,78
1736948812.4748108,10.59.108.55,17.248.209.129,63281,443,6,130
1736948812.475191,10.59.108.55,17.248.209.129,63281,443,6,421
1736948812.481083,10.59.108.55,17.248.209.129,63281,443,6,130
1736948812.481427,10.59.108.55,17.248.209.129,63281,443,6,612
1736948812.487469,17.248.209.129,10.59.108.55,443,63281,6,66
1736948812.487818,17.248.209.129,10.59.108.55,443,63281,6,298
1736948812.488101,10.59.108.55,17.248.209.129,63281,443,6,66
1736948812.4909341,17.248.209.129,10.59.108.55,443,63281,6,66
1736948812.491254,17.248.209.129,10.59.108.55,443,63281,6,298
1736948812.491519,10.59.108.55,17.248.209.129,63281,443,6,66
1736948812.495923,10.59.108.55,17.248.209.129,63281,443,6,130
1736948812.496248,10.59.108.55,17.248.209.129,63281,443,6,451
1736948812.512576,17.248.209.129,10.59.108.55,443,63281,6,66
1736948812.512908,17.248.209.129,10.59.108.55,443,63281,6,297
1736948812.513171,10.59.108.55,17.248.209.129,63281,443,6,66
1736948812.570111,10.59.108.106,224.0.0.251,5353,5353,17,289
1736948812.7298932,10.59.109.38,224.0.0.251,5353,5353,17,91
1736948812.915395,10.59.109.38,10.59.108.55,5353,5353,17,79
1736948812.915891,10.59.109.38,10.59.108.55,5353,5353,17,76
1736948812.916857,10.59.108.55,17.248.209.129,63281,443,6,129
1736948812.9175339,10.59.108.55,17.248.209.129,63281,443,6,425
1736948812.920071,10.59.108.55,17.248.209.129,63281,443,6,130
1736948812.920614,10.59.108.55,17.248.209.129,63281,443,6,619
1736948812.9297311,17.248.209.129,10.59.108.55,443,63281,6,66
1736948812.9301171,17.248.209.129,10.59.108.55,443,63281,6,66
1736948812.9312792,17.248.209.129,10.59.108.55,443,63281,6,298
1736948812.931728,17.248.209.129,10.59.108.55,443,63281,6,298
1736948812.932116,10.59.108.55,17.248.209.129,63281,443,6,66
1736948812.9366121,10.59.108.55,17.248.209.129,63281,443,6,130
1736948812.9373062,10.59.108.55,17.248.209.129,63281,443,6,458
1736948812.957679,17.248.209.129,10.59.108.55,443,63281,6,66
1736948812.958218,17.248.209.129,10.59.108.55,443,63281,6,298
1736948812.958617,10.59.108.55,17.248.209.129,63281,443,6,66
1736948812.961956,10.59.108.55,10.59.109.38,5353,5353,17,939
1736948813.007382,10.59.108.138,224.0.0.251,5353,5353,17,255
1736948813.030411,10.59.108.208,224.0.0.251,5353,5353,17,150
1736948813.1048052,10.59.108.82,224.0.0.251,5353,5353,17,179
1736948813.109867,10.59.108.138,224.0.0.251,5353,5353,17,762
1736948813.111914,10.59.110.19,224.0.0.251,5353,5353,17,150
1736948813.1128352,10.59.109.38,10.59.108.55,49546,7000,6,78
1736948813.114341,10.59.108.55,10.59.109.38,7000,49546,6,78
1736948813.124513,10.59.109.38,10.59.108.55,49546,7000,6,66
1736948813.124862,10.59.109.38,10.59.108.55,49546,7000,6,107
1736948813.1251452,10.59.108.55,10.59.109.38,7000,49546,6,66
1736948813.1895869,10.59.108.55,10.59.109.38,7000,49546,6,1514
1736948813.189857,10.59.108.55,10.59.109.38,7000,49546,6,550
1736948813.212769,10.59.108.55,10.59.109.38,7000,49546,6,1514
1736948813.214209,10.59.109.38,10.59.108.55,49546,7000,6,66
1736948813.236203,10.59.109.38,10.59.108.55,49546,7000,6,66
1736948813.236414,10.59.109.38,10.59.108.55,49546,7000,6,66
1736948813.236612,10.59.109.38,10.59.108.55,49546,7000,6,78
1736948813.236819,10.59.108.55,10.59.109.38,7000,49546,6,66
1736948813.2378082,10.59.108.55,10.59.109.38,7000,49546,6,66
1736948813.255782,10.59.108.55,10.59.107.93,51642,8009,6,78
1736948813.259902,10.59.109.38,10.59.108.55,49546,7000,6,66
1736948813.81103,10.59.108.55,224.0.0.251,5353,5353,17,434
1736948814.0099719,10.59.109.169,239.255.255.250,41788,1900,17,394
